REGION IV-A,BATANGAS,PADRE GARCIA,PAYAPA,10200029,14,61,25,31,292,6,509,467,"0071A, 0071B, 0072A",PAYAPA ELEM. SCHOOL,05/09/2016 22:40:02
REGION IV-A,BATANGAS,MALVAR,SANTIAGO,10170044,56,88,10,136,254,10,723,583,"0113A, 0114A, 0114B, 0119A",PAYAPA ELEMENTARY SCHOOL,05/09/2016 18:38:52
REGION IV-A,BATANGAS,MALVAR,SANTIAGO,10170043,59,119,10,160,266,11,776,651,"0110A, 0110B, 0111A, 0112A",PAYAPA ELEMENTARY SCHOOL,05/09/2016 18:42:01
REGION IV-A,BATANGAS,SANTO TOMAS,SAN RAFAEL,10280076,52,145,24,147,190,6,751,604,"0164A, 0164B, 0165A, 0165B",SAN RAFAEL-SANTA ANASTACIA ELEMENTARY SCHOOL,05/09/2016 19:13:34
REGION IV-A,BATANGAS,SANTO TOMAS,SAN FELIX,10280032,46,99,20,124,219,23,733,577,"0068A, 0069A, 0070A, 0070B",SAN FELIX ELEMENTARY SCHOOL,05/09/2016 19:40:27
REGION IV-A,BATANGAS,SANTO TOMAS,SAN FELIX,10280029,51,112,20,181,202,18,783,612,"0062A, 0062B, 0063A, 0063B",SAN FELIX ELEMENTARY SCHOOL,05/09/2016 20:23:19
REGION IV-A,LAGUNA,NAGCARLAN,SANTA LUCIA,34170062,56,124,14,92,203,12,618,532,"0110A, 0110B, 0111A, 0112A",STA. LUCIA ELEM. SCHOOL,05/09/2016 19:50:25
REGION IV-A,LAGUNA,NAGCARLAN,KANLURAN LAZAAN,34170029,19,114,3,27,180,15,401,368,"0045A, 0046A, 0046B",LAZAAN-MALINAO ELEM. SCHOOL,05/09/2016 23:16:34
REGION IV-A,LAGUNA,CITY OF BIÑAN,SANTO TOMAS (CALABUSO),34030204,70,46,3,175,156,3,596,457,"0193E, 0193F, 0193H",OLIVAREZ HOMES SOUTH CLUB HOUSE,05/09/2016 20:07:10
REGION IV-A,LAGUNA,CITY OF BIÑAN,LANGKIWA,34030076,36,154,7,224,149,12,787,606,"0054O, 0055K, 0055L, 0055M",LANGKIWA ELEMENTARY SCHOOL,05/09/2016 20:07:22
REGION IV-A,LAGUNA,CITY OF BIÑAN,SAN ANTONIO,34030143,46,100,8,173,194,12,731,556,"0111E, 0111F, 0111G, 0112A",PAGKAKAISA ELEMENTARY SCHOOL,05/09/2016 19:13:27
REGION IV-A,LAGUNA,CALAMBA CITY,BANLIC,34050051,75,82,3,214,150,14,703,554,"0102B, 0103A, 0104A, 0104B",BANLIC BRGY. HIGH SCHOOL,05/09/2016 18:57:46
REGION IV-A,LAGUNA,CALAMBA CITY,CANLUBANG,34050099,32,91,8,156,110,8,651,419,"0205B, 0205C, 0205D, 0206A",MAJADA IN PRIMARY SCHOOL,05/09/2016 18:40:26
REGION IV-A,LAGUNA,CALAMBA CITY,LAWA,34050170,52,85,6,168,160,11,752,494,"0348A, 0348C, 0349A, 0349B, 0351C",LAWA ELEM. SCHOOL,05/09/2016 18:37:02
REGION IV-A,LAGUNA,CALAMBA CITY,BUROL,34050080,16,132,10,98,166,8,569,450,"0161A, 0162A, 0162P1",BUROL ELEM. SCHOOL,05/10/2016 5:04:21
REGION IV-A,LAGUNA,CALAMBA CITY,LECHERIA,34050172,21,107,8,164,95,7,706,425,"0353A, 0353B, 0354A, 0366P1",LECHERIA ELEM. SCHOOL,05/09/2016 18:52:55
REGION IV-A,LAGUNA,CALAMBA CITY,MAYAPA,34050232,35,76,2,166,110,1,709,400,"0453B, 0454A, 0454B, 0455A",MAYAPA ELEM. SCHOOL,05/09/2016 19:11:36
REGION IV-A,LAGUNA,CALAMBA CITY,BUNGGO,34050078,43,163,6,180,157,10,697,583,"0155A, 0156A, 0157A, 0157B, 0158A",BUNGGO ELEM. SCHOOL,05/09/2016 17:43:30
REGION IV-A,LAGUNA,SANTA MARIA,CUEVA,34270020,17,99,7,156,97,13,541,438,"0058A, 0058B, 0059A, 0059B",CUEVA PRIMARY SCHOOL,05/09/2016 18:41:50
REGION IV-A,LAGUNA,LOS BAÑOS,PUTHO TUNTUNGIN,34110055,45,110,20,225,142,15,696,580,"0173A, 0173B, 0174A, 0175A, 0175B",PACIANO RIZAL ELEMENTARY SCHOOL,05/09/2016 18:46:49
REGION IV-A,LAGUNA,SANTA ROSA CITY,POOK,34280173,57,110,8,226,190,7,782,617,"0225H, 0225I, 0225J, 0226A",JOSE ZABALLA MEMORIAL ELEM. SCHOOL,05/09/2016 18:42:36
REGION IV-A,LAGUNA,SANTA ROSA CITY,MACABLING,34280116,42,99,3,280,163,9,763,616,"0157B, 0158A, 0158B, 0159A",MACABLING ELEM. SCHOOL,05/10/2016 0:52:05
REGION IV-A,LAGUNA,MAJAYJAY,PANGLAN,34160035,25,70,9,96,84,12,355,311,"0075A, 0076A",MAJAYJAY ELEM. SCHOOL,05/09/2016 18:56:43
REGION IV-A,LAGUNA,SAN PABLO CITY,SAN MARCOS,34240143,41,102,7,250,227,7,785,652,"0402B, 0403B, 0404A, 0405A, 0405B, 0406A",SAN MARCOS ELEMENTARY SCHOOL,05/09/2016 18:29:46
REGION IV-A,LAGUNA,SANTA CRUZ,BUBUKAL,34260019,63,142,3,160,208,15,760,613,"0055B, 0056A, 0056B, 0057A, 0065A",BUBUKAL ELEM. SCHOOL,05/09/2016 18:33:03
REGION IV-A,LAGUNA,CABUYAO,MARINIG,34040163,76,127,4,220,161,9,761,615,"0187S, 0187T, 0188A, 0188B, 0189A",SOUTH MARINIG ELEMENTARY SCHOOL,05/09/2016 20:16:48
REGION IV-A,LAGUNA,CABUYAO,BARANGAY  TRES (POB.),34040205,42,112,4,197,147,6,757,527,"0225C, 0225D, 0225E, 0225F",CABUYAO CENTRAL SCHOOL,05/09/2016 18:41:44
REGION IV-A,LAGUNA,LILIW,ILAYANG TAYKIN,34100031,55,170,8,145,237,11,770,654,"0065A, 0065B, 0065C, 0066A, 0066B",TAYKIN ELEM. SCHOOL,05/09/2016 18:38:03
REGION IV-A,LAGUNA,SAN PEDRO CITY,LARAM,34250074,63,84,7,258,170,6,727,602,"0189A, 0189B, 0190A, 0190B, 0191A",LAGUNA RESETTLEMENT COMMUNITY SCHOOL,05/09/2016 20:50:37
REGION IV-A,LAGUNA,SAN PEDRO CITY,SAN VICENTE,34250161,40,43,9,156,109,0,560,365,"0419C, 0424B, 0425A, 0425B, 0426A, 0427A, 0427P1",SAN VICENTE ELEMENTARY SCHOOL,05/10/2016 4:14:26
REGION IV-A,LAGUNA,KALAYAAN,SAN ANTONIO,34090020,21,157,7,131,114,15,542,476,"0060A, 0060B, 0061A, 0061B",SITIO MAGALOLON  ELEMENTARY SCHOOL,05/09/2016 20:04:02
REGION IV-A,LAGUNA,PAKIL,CASINSIN,34200019,20,72,6,107,82,3,387,309,"0049A, 0050A",CASINSIN ELEM. SCHOOL,05/10/2016 0:25:51
REGION IV-A,RIZAL,MORONG,SAN GUILLERMO,58090053,34,106,14,193,163,6,696,552,"0137A, 0137B, 0144A, 0144B",SAN GUILLERMO ELEMENTARY SCHOOL,05/09/2016 18:52:49
REGION IV-A,RIZAL,CARDONA,LOOC,58060026,35,89,21,191,209,8,742,597,"0068A, 0068B, 0068C, 0069A, 0069B, 0070A",TADLAK ELEMENTARY SCHOOL,05/09/2016 18:38:14
REGION IV-A,RIZAL,BINANGONAN,TATALA,58040187,51,83,11,173,151,8,644,492,"0433C, 0434C, 0434D, 0435A",TATALA ELEMENTARY SCHOOL,05/09/2016 18:32:19
REGION IV-A,RIZAL,BINANGONAN,BILIBIRAN,58040024,53,70,1,140,111,7,578,393,"0057A, 0057B, 0057C, 0058A, 0058B, 0058P1",BILIBIRAN ELEMENTARY SCHOOL,05/09/2016 18:36:39
REGION IV-A,RIZAL,BINANGONAN,PAG-ASA,58040124,51,76,9,207,117,4,686,474,"0281B, 0282A, 0282B, 0283A, 0283B",TAYUMAN ELEMENTARY SCHOOL,05/09/2016 17:47:00
REGION IV-A,RIZAL,CAINTA,SANTO DOMINGO,58050082,47,31,1,207,210,2,627,499,"0200A,0200B,0201A,0201B,0202A,0202B",VISTA VERDE COUNTRY HOMES CLUBHOUSE,05/09/2016 18:50:35
REGION IV-A,RIZAL,CAINTA,SANTO DOMINGO,58050091,62,71,8,220,260,6,769,645,"0218A,0218B,0218C,0219A,0219B,0220A",VILLAGE EAST EXEC VILL COV COURT,05/09/2016 18:33:37
REGION IV-A,RIZAL,CAINTA,SAN JUAN,58050145,59,77,6,292,187,4,778,639,"0368A,0369A,0369B,0369C,0370A,0373A",SAN JUAN ELEMENTARY SCHOOL,05/09/2016 18:35:11
REGION IV-A,RIZAL,CAINTA,SAN JUAN,58050191,52,85,14,228,167,13,733,575,"0499A,0499B,0500A,0500B,0501A,0501B",SAN FRANCISCO ELEMENTARY SCHOOL,05/09/2016 18:47:00
